day	hour	value
1	1	4.04641185647
1	2	2.04920696828
1	3	1.82332293292
1	4	1.58281331253
1	5	3.41913676547
1	6	25.9035361414
1	7	88.1809022361
1	8	277.882865315
1	9	396.358229329
1	10	181.579888196
1	11	125.893785751
1	12	119.131890276
1	13	127.076833073
1	14	134.056487259
1	15	164.269695788
1	16	298.248179927
1	17	227.93324233
1	18	254.433177327
1	19	212.725884035
1	20	92.9342173687
1	21	48.5455668227
1	22	34.6723868955
1	23	20.3409386375
1	24	9.54563182527
2	1	4.61030941238
2	2	2.23771450858
2	3	1.89807592304
2	4	1.46580863235
2	5	3.42238689548
2	6	26.8021970879
2	7	92.4596983879
2	8	290.39424077
2	9	409.59925897
2	10	177.270215809
2	11	122.720033801
2	12	116.634165367
2	13	127.219838794
2	14	136.199947998
2	15	164.662961518
2	16	297.820787832
2	17	230.814482579
2	18	252.344968799
2	19	211.533086323
2	20	95.7309542382
2	21	51.6006890276
2	22	37.2919916797
2	23	23.3408086323
2	24	11.905226209
3	1	4.45917836713
3	2	2.56760270411
3	3	2.25559022361
3	4	1.63806552262
3	5	3.13312532501
3	6	26.6039391576
3	7	91.6552912116
3	8	291.734919397
3	9	404.551807072
3	10	181.28900156
3	11	124.574232969
3	12	118.52574103
3	13	123.418811752
3	14	128.500390016
3	15	165.8525091
3	16	299.141965679
3	17	225.398140926
3	18	250.718278731
3	19	206.404381175
3	20	94.5137805512
3	21	51.878575143
3	22	38.2410296412
3	23	25.1267550702
3	24	12.7226339054
4	1	5.66985179407
4	2	3.05187207488
4	3	2.93161726469
4	4	2.21171346854
4	5	3.50689027561
4	6	25.9604134165
4	7	91.2051482059
4	8	288.242654706
4	9	406.605889236
4	10	184.47575403
4	11	128.08924857
4	12	122.885790432
4	13	124.504355174
4	14	131.342628705
4	15	167.250065003
4	16	297.742784711
4	17	233.830603224
4	18	249.258970359
4	19	204.650936037
4	20	102.068707748
4	21	60.2866614665
4	22	49.0412116485
4	23	32.1421606864
4	24	14.5557072283
5	1	10.9545631825
5	2	5.76410556422
5	3	5.03445137806
5	4	3.71489859594
5	5	3.77502600104
5	6	25.9100364015
5	7	87.8087623505
5	8	273.501690068
5	9	384.22874415
5	10	174.148465939
5	11	124.592108684
5	12	120.953588144
5	13	122.994669787
5	14	129.597308892
5	15	158.590093604
5	16	293.83450338
5	17	225.867784711
5	18	232.797061882
5	19	188.678172127
5	20	93.771125845
5	21	52.4148465939
5	22	39.8709698388
5	23	32.6816822673
5	24	21.5061102444
6	1	12.0921086843
6	2	7.35504420177
6	3	6.7505200208
6	4	5.16283151326
6	5	2.85198907956
6	6	5.82748309932
6	7	17.5929537181
6	8	35.8034321373
6	9	65.0806032241
6	10	85.3630395216
6	11	99.969123765
6	12	110.913936557
6	13	113.052522101
6	14	112.417121685
6	15	113.332033281
6	16	111.552587103
6	17	114.233944358
6	18	109.269370775
6	19	87.9745189808
6	20	56.3003770151
6	21	36.4827093084
6	22	30.7397295892
6	23	28.744149766
6	24	20.6627015081
7	1	2.95924336973
7	2	2.01833073323
7	3	1.87857514301
7	4	1.6868174727
7	5	1.875325013
7	6	2.96899375975
7	7	7.22503900156
7	8	16.7479199168
7	9	40.65425117
7	10	66.903926157
7	11	78.4743889756
7	12	89.1478159126
7	13	92.2565652626
7	14	94.5349063963
7	15	95.2499349974
7	16	97.3007670307
7	17	98.758450338
7	18	93.2722308892
7	19	71.0754680187
7	20	41.7869214769
7	21	27.8259880395
7	22	22.9881695268
7	23	18.6313702548
7	24	8.38208528341
