day	hour	value
1	1	10.5742979719
1	2	0.745904836193
1	3	0.056877275091
1	4	0.448517940718
1	5	10.0656526261
1	6	57.527301092
1	7	153.23225429
1	8	347.687532501
1	9	485.228159126
1	10	247.838663547
1	11	128.820527821
1	12	116.933177327
1	13	134.727639106
1	14	139.056812272
1	15	153.937532501
1	16	245.989339574
1	17	293.004095164
1	18	437.893265731
1	19	337.706383255
1	20	158.317082683
1	21	87.8103874155
1	22	66.1888975559
1	23	40.7777561102
1	24	24.972373895
2	1	7.88481539262
2	2	0.718278731149
2	3	0.0
2	4	0.432267290692
2	5	10.3614144566
2	6	59.5505070203
2	7	159.912896516
2	8	365.434867395
2	9	505.463468539
2	10	238.538416537
2	11	132.000780031
2	12	121.366354654
2	13	136.975104004
2	14	148.789326573
2	15	162.50975039
2	16	251.820072803
2	17	298.612194488
2	18	443.624869995
2	19	336.611089444
2	20	161.739469579
2	21	94.5365314613
2	22	72.4421476859
2	23	46.4297321893
2	24	23.773075923
3	1	8.63559542382
3	2	0.901911076443
3	3	0.0
3	4	0.544396775871
3	5	10.2866614665
3	6	58.9589833593
3	7	156.929277171
3	8	362.062857514
3	9	503.466263651
3	10	241.915301612
3	11	138.374284971
3	12	124.829368175
3	13	139.342823713
3	14	146.484984399
3	15	169.798166927
3	16	248.509815393
3	17	298.984334373
3	18	441.390405616
3	19	334.041861674
3	20	159.821892876
3	21	96.223348934
3	22	76.2903016121
3	23	48.8039521581
3	24	25.1576313053
4	1	10.2590353614
4	2	1.07579303172
4	3	0.0
4	4	0.498894955798
4	5	10.6945527821
4	6	58.102574103
4	7	155.694227769
4	8	356.974778991
4	9	502.010205408
4	10	248.420436817
4	11	137.909516381
4	12	128.03724649
4	13	137.061232449
4	14	144.762415497
4	15	169.455278211
4	16	257.717433697
4	17	304.564807592
4	18	438.728549142
4	19	337.371619865
4	20	169.507280291
4	21	113.284906396
4	22	95.9048361934
4	23	61.5444617785
4	24	30.0344513781
5	1	26.2870514821
5	2	9.55213208528
5	3	1.16517160686
5	4	0.729654186167
5	5	11.229199168
5	6	56.9634035361
5	7	147.074882995
5	8	337.987519501
5	9	470.940587624
5	10	245.909711388
5	11	139.245319813
5	12	130.677977119
5	13	141.811297452
5	14	151.168421737
5	15	169.882670307
5	16	262.397620905
5	17	304.868694748
5	18	418.69149766
5	19	323.875455018
5	20	166.427782111
5	21	103.425637025
5	22	88.8211778471
5	23	74.6278601144
5	24	51.9517030681
6	1	23.3408086323
6	2	8.67622204888
6	3	1.01566562663
6	4	0.463143525741
6	5	4.60868434737
6	6	20.5651976079
6	7	40.2171086843
6	8	57.2461648466
6	9	83.5933437337
6	10	96.3452288092
6	11	106.628640146
6	12	116.869799792
6	13	123.204303172
6	14	124.481604264
6	15	125.095878835
6	16	133.819227769
6	17	139.230694228
6	18	146.788871555
6	19	123.288806552
6	20	86.880850234
6	21	64.9310972439
6	22	59.6788871555
6	23	55.3464638586
6	24	40.613624545
7	1	7.11778471139
7	2	1.14729589184
7	3	0.0
7	4	0.260010400416
7	5	3.752275091
7	6	12.2952418097
7	7	22.2130135205
7	8	34.5261310452
7	9	60.2541601664
7	10	89.6808372335
7	11	101.761570463
7	12	111.862974519
7	13	113.068772751
7	14	113.663546542
7	15	117.228939158
7	16	127.187337493
7	17	132.598803952
7	18	130.495969839
7	19	107.623179927
7	20	71.4459828393
7	21	53.734399376
7	22	44.7835413417
7	23	38.5790431617
7	24	20.4920696828
