mode,date,tap,time,count
bus,20160728,on,02:30,210
bus,20160728,on,13:30,10416
bus,20160728,on,15:15,28887
bus,20160728,on,12:45,9895
bus,20160728,on,00:00,553
bus,20160728,on,16:30,18415
bus,20160728,on,04:45,671
bus,20160728,on,03:45,144
bus,20160728,on,19:45,5391
bus,20160728,on,01:30,224
bus,20160728,on,07:15,24138
bus,20160728,on,09:00,15532
bus,20160728,on,18:45,10368
bus,20160728,on,11:30,9822
bus,20160728,on,20:15,4478
bus,20160728,on,00:15,429
bus,20160728,on,13:00,10575
bus,20160728,on,02:45,184
bus,20160728,on,23:30,881
bus,20160728,on,17:45,18858
bus,20160728,on,10:45,9384
bus,20160728,on,05:15,1894
bus,20160728,on,20:00,5360
bus,20160728,on,12:30,10249
bus,20160728,on,07:00,17072
bus,20160728,on,14:15,12196
bus,20160728,on,08:45,19367
bus,20160728,on,23:45,672
bus,20160728,on,-1,188
bus,20160728,on,13:15,10405
bus,20160728,on,11:45,9334
bus,20160728,on,22:45,1695
bus,20160728,on,05:00,1252
bus,20160728,on,16:15,17769
bus,20160728,on,01:15,178
bus,20160728,on,14:00,11846
bus,20160728,on,21:15,3847
bus,20160728,on,07:30,31418
bus,20160728,on,06:30,9269
bus,20160728,on,01:00,264
bus,20160728,on,15:00,26506
bus,20160728,on,16:00,19286
bus,20160728,on,23:15,1128
bus,20160728,on,12:15,9734
bus,20160728,on,21:00,4636
bus,20160728,on,04:30,347
bus,20160728,on,05:30,2655
bus,20160728,on,03:15,151
bus,20160728,on,14:30,15312
bus,20160728,on,18:15,15268
bus,20160728,on,06:45,11563
bus,20160728,on,19:00,8983
bus,20160728,on,12:00,9787
bus,20160728,on,09:45,10584
bus,20160728,on,23:00,1318
bus,20160728,on,00:45,354
bus,20160728,on,04:00,135
bus,20160728,on,17:30,20006
bus,20160728,on,10:15,10215
bus,20160728,on,08:30,27689
bus,20160728,on,03:00,200
bus,20160728,on,21:30,3350
bus,20160728,on,15:45,20260
bus,20160728,on,18:00,17945
bus,20160728,on,20:30,4405
bus,20160728,on,19:15,7352
bus,20160728,on,08:00,37857
bus,20160728,on,02:00,282
bus,20160728,on,13:45,10216
bus,20160728,on,17:00,21192
bus,20160728,on,09:30,12118
bus,20160728,on,22:30,2088
bus,20160728,on,04:15,61
bus,20160728,on,03:30,178
bus,20160728,on,10:00,10062
bus,20160728,on,18:30,12503
bus,20160728,on,20:45,3846
bus,20160728,on,07:45,36895
bus,20160728,on,06:00,5190
bus,20160728,on,05:45,3945
bus,20160728,on,08:15,34108
bus,20160728,on,11:00,9465
bus,20160728,on,02:15,216
bus,20160728,on,22:00,2978
bus,20160728,on,17:15,21329
bus,20160728,on,10:30,9962
bus,20160728,on,15:30,26458
bus,20160728,on,14:45,18263
bus,20160728,on,00:30,360
bus,20160728,on,19:30,6131
bus,20160728,on,06:15,7049
bus,20160728,on,01:45,241
bus,20160728,on,16:45,17700
bus,20160728,on,11:15,10044
bus,20160728,on,09:15,13239
bus,20160728,on,22:15,2459
bus,20160728,on,21:45,3204
bus,20160728,off,02:30,238
bus,20160728,off,13:30,9722
bus,20160728,off,15:15,20700
bus,20160728,off,12:45,9434
bus,20160728,off,00:00,572
bus,20160728,off,16:30,16933
bus,20160728,off,04:45,419
bus,20160728,off,03:45,150
bus,20160728,off,19:45,6446
bus,20160728,off,01:30,223
bus,20160728,off,07:15,13518
bus,20160728,off,09:00,20556
bus,20160728,off,18:45,14416
bus,20160728,off,11:30,9489
bus,20160728,off,20:15,5084
bus,20160728,off,00:15,535
bus,20160728,off,13:00,9505
bus,20160728,off,02:45,218
bus,20160728,off,23:30,1031
bus,20160728,off,17:45,19102
bus,20160728,off,10:45,9764
bus,20160728,off,05:15,1242
bus,20160728,off,20:00,5414
bus,20160728,off,12:30,9294
bus,20160728,off,07:00,9517
bus,20160728,off,14:15,10926
bus,20160728,off,08:45,30398
bus,20160728,off,23:45,891
bus,20160728,off,-1,60959
bus,20160728,off,13:15,9804
bus,20160728,off,11:45,9575
bus,20160728,off,22:45,1985
bus,20160728,off,05:00,654
bus,20160728,off,16:15,17656
bus,20160728,off,01:15,278
bus,20160728,off,14:00,9409
bus,20160728,off,21:15,4057
bus,20160728,off,07:30,18722
bus,20160728,off,06:30,6426
bus,20160728,off,01:00,269
bus,20160728,off,15:00,16491
bus,20160728,off,16:00,19741
bus,20160728,off,23:15,1348
bus,20160728,off,12:15,9334
bus,20160728,off,21:00,4037
bus,20160728,off,04:30,143
bus,20160728,off,05:30,1715
bus,20160728,off,03:15,196
bus,20160728,off,14:30,11354
bus,20160728,off,18:15,18419
bus,20160728,off,06:45,8378
bus,20160728,off,19:00,11368
bus,20160728,off,12:00,8888
bus,20160728,off,09:45,12265
bus,20160728,off,23:00,1688
bus,20160728,off,00:45,289
bus,20160728,off,04:00,184
bus,20160728,off,17:30,18459
bus,20160728,off,10:15,9491
bus,20160728,off,08:30,35688
bus,20160728,off,03:00,165
bus,20160728,off,21:30,3853
bus,20160728,off,15:45,21671
bus,20160728,off,18:00,19300
bus,20160728,off,20:30,4413
bus,20160728,off,19:15,9605
bus,20160728,off,08:00,29499
bus,20160728,off,02:00,223
bus,20160728,off,13:45,10180
bus,20160728,off,17:00,16471
bus,20160728,off,09:30,13585
bus,20160728,off,22:30,2468
bus,20160728,off,04:15,198
bus,20160728,off,03:30,177
bus,20160728,off,10:00,9973
bus,20160728,off,18:30,17715
bus,20160728,off,20:45,4098
bus,20160728,off,07:45,26093
bus,20160728,off,06:00,3514
bus,20160728,off,05:45,2618
bus,20160728,off,08:15,35603
bus,20160728,off,11:00,8755
bus,20160728,off,02:15,233
bus,20160728,off,22:00,3157
bus,20160728,off,17:15,17967
bus,20160728,off,10:30,9970
bus,20160728,off,15:30,22246
bus,20160728,off,14:45,13613
bus,20160728,off,00:30,397
bus,20160728,off,19:30,7533
bus,20160728,off,06:15,4735
bus,20160728,off,01:45,201
bus,20160728,off,16:45,16390
bus,20160728,off,11:15,9135
bus,20160728,off,09:15,15640
bus,20160728,off,22:15,2949
bus,20160728,off,21:45,3194
bus,20160726,on,02:30,174
bus,20160726,on,13:30,11052
bus,20160726,on,15:15,28979
bus,20160726,on,12:45,10104
bus,20160726,on,00:00,456
bus,20160726,on,16:30,17495
bus,20160726,on,04:45,747
bus,20160726,on,03:45,98
bus,20160726,on,19:45,4579
bus,20160726,on,01:30,195
bus,20160726,on,07:15,24379
bus,20160726,on,09:00,14990
bus,20160726,on,18:45,10183
bus,20160726,on,11:30,9014
bus,20160726,on,20:15,3925
bus,20160726,on,00:15,384
bus,20160726,on,13:00,11237
bus,20160726,on,02:45,110
bus,20160726,on,23:30,806
bus,20160726,on,17:45,19412
bus,20160726,on,10:45,8986
bus,20160726,on,05:15,1978
bus,20160726,on,20:00,4564
bus,20160726,on,12:30,10385
bus,20160726,on,07:00,17581
bus,20160726,on,14:15,11936
bus,20160726,on,08:45,18565
bus,20160726,on,23:45,593
bus,20160726,on,-1,225
bus,20160726,on,13:15,10814
bus,20160726,on,11:45,9015
bus,20160726,on,22:45,1213
bus,20160726,on,05:00,1191
bus,20160726,on,16:15,17584
bus,20160726,on,01:15,129
bus,20160726,on,14:00,12110
bus,20160726,on,21:15,2917
bus,20160726,on,07:30,32183
bus,20160726,on,06:30,9235
bus,20160726,on,01:00,223
bus,20160726,on,15:00,26367
bus,20160726,on,16:00,18769
bus,20160726,on,23:15,879
bus,20160726,on,12:15,10022
bus,20160726,on,21:00,3402
bus,20160726,on,04:30,338
bus,20160726,on,05:30,2856
bus,20160726,on,03:15,97
bus,20160726,on,14:30,15337
bus,20160726,on,18:15,15692
bus,20160726,on,06:45,11860
bus,20160726,on,19:00,8568
bus,20160726,on,12:00,10058
bus,20160726,on,09:45,10024
bus,20160726,on,23:00,1096
bus,20160726,on,00:45,208
bus,20160726,on,04:00,118
bus,20160726,on,17:30,21196
bus,20160726,on,10:15,9531
bus,20160726,on,08:30,27389
bus,20160726,on,03:00,163
bus,20160726,on,21:30,2442
bus,20160726,on,15:45,20481
bus,20160726,on,18:00,18855
bus,20160726,on,20:30,3459
bus,20160726,on,19:15,6854
bus,20160726,on,08:00,38195
bus,20160726,on,02:00,148
bus,20160726,on,13:45,10050
bus,20160726,on,17:00,21021
bus,20160726,on,09:30,11649
bus,20160726,on,22:30,1592
bus,20160726,on,04:15,51
bus,20160726,on,03:30,85
bus,20160726,on,10:00,9906
bus,20160726,on,18:30,12646
bus,20160726,on,20:45,3474
bus,20160726,on,07:45,36762
bus,20160726,on,06:00,5447
bus,20160726,on,05:45,3846
bus,20160726,on,08:15,34338
bus,20160726,on,11:00,9167
bus,20160726,on,02:15,135
bus,20160726,on,22:00,2164
bus,20160726,on,17:15,21719
bus,20160726,on,10:30,9448
